,cigever,cigtry,cigyfu,cig30av,cigage,alcever,alctry,alcyfu,aldaypwk,mjever,mjage,mjyfu,mrdaypwk,snfamjev,lsd,psilcy,dmtamtfxy,salviadiv,lsdage,lsdyfu,abusealc,abusemrj,dstngd30,suicthnk,yodprev,yowrage,yowrdbtr,yowrsthk,year,irpinc3,catag6,health,irwrkstat,ireduhighst2,newrace2,irsex,snrlgimp
12892,1,16,9999,93,999,1,23,9999,99,2,991,9991,91,3,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,1,4,1,1,8,1,2,4
12893,1,19,9999,93,19,1,20,9999,99,2,991,9991,91,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,7,5,2,1,11,1,1,3
12894,1,13,9999,93,16,1,16,9999,93,2,991,9991,91,2,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,5,6,2,4,10,1,1,4
12895,2,991,9991,91,991,1,13,9999,99,1,21,9999,99,1,91,91,91,91,991,9991,0,0,3,1,99,999,99,99,2019,5,3,2,1,9,6,2,4
12896,1,13,9999,93,999,1,18,9999,99,1,22,9999,93,2,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,6,6,3,4,11,1,1,4
12897,1,10,9999,93,999,1,15,9999,99,1,18,9999,93,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,7,4,1,1,11,1,2,4
12898,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,2,999,99,99,2019,1,1,2,99,2,1,1,99
12899,1,19,2017,93,999,1,19,2017,93,2,991,9991,91,1,91,91,91,91,991,9991,0,0,3,2,99,999,99,99,2019,1,2,3,2,8,1,2,4
12900,1,15,9999,4,16,1,16,9999,93,1,15,9999,93,2,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,5,4,3,1,9,1,2,4
12901,1,12,9999,93,999,1,15,9999,99,1,13,9999,93,1,91,91,91,91,991,9991,0,0,4,2,99,999,99,99,2019,3,5,4,1,10,6,1,3
